voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x5ecf130e55062db1a2e4eef7849bcd4e40288c81,17,17,15,2,1.971824920548596e+22,0
0xf6261d145ec7676dc0e55424b679403f1ca89640,5,5,4,0,1.960274233740193e+22,1
0x11c97417030a6a701b5c7485fc7999952812540a,6,6,6,0,1.95e+22,0
0x9f65721f7f1d6b6ade5dbdba52318896d437554d,4,4,4,0,1.95e+22,0
0x26218218cb63669eddb86d6f1aace5e5a46f14b1,6,6,6,0,1.95e+22,0
0x6e1ac9b3f4499a73385dd8d2daed6449406d49f4,3,3,2,0,1.95e+22,1
0xff3157e7f89dec91c79a6793896eaed944ee0d09,8,8,8,0,1.95e+22,0
0x8e545fd14b8528a0ead684e6cf7f9db2878fd6d1,8,8,8,0,1.95e+22,0
0x5607059a32f0d7228815dd5b36a8b3e40637c380,9,9,9,0,1.94e+22,0
0x7e7209089e179deca1a87063ebb9ed7a9fdae9b6,16,16,16,0,1.921039835481005e+22,0
0xe4ad7226d41ba58d20322fc121b9c509b5f07e2c,11,11,8,3,1.8815e+22,0
0x125c459df3e8454b3c90462f5078c34182bd1312,11,11,11,0,1.8768164589298856e+22,0
0x7ebf657ff9313f04c90c20f9a11d3cec72e2edd9,5,5,3,2,1.875e+22,0
0x9ea278beddb85382ef23c0ff42d1c0d4d9d6d296,2,2,1,1,1.875e+22,0
0xb4e85fdf97f32220f9a751e50ae0a7733d71d892,3,3,3,0,1.8446229327247592e+22,0
0x89d3ee0c44df4a4340b4c79c3a36d78f4c3cc0c9,11,11,10,0,1.8221760533557487e+22,1
0xcba467c5207fa91900b43f46a4374187ee4bb89f,16,16,15,1,1.821939390767468e+22,0
0xe8de221533f666778d6513a1da0c56e8ef89c72a,6,6,4,2,1.810288397505678e+22,0
0xf8219bd4d474a8ed9e4041d6cae01467f3ee1e56,2,2,2,0,1.8007101870187817e+22,0
0x9cfc87fc6851fcf588da8c16416948021ed1c46c,6,6,6,0,1.8e+22,0
0xb8c70f70985a7f1c12bf8dafb248dc68f4b7f1b2,8,8,8,0,1.8e+22,0
0xb6009c50ab8fb7fd86f38ff2510409d5f55b235c,6,6,6,0,1.8e+22,0
0xac56b173f3876b6ef0a9814d8307246ccd0e23c1,8,8,8,0,1.8e+22,0
0x52ba8ac54f0917452238e08dcba6b56567d49947,6,6,6,0,1.8e+22,0
0x7c0adea73b157e06313c105aa67dbbb7940de404,6,6,6,0,1.8e+22,0
0x211ebfd07823c9c72a93a0c2fd5586be7edb8cc1,6,6,6,0,1.8e+22,0
0x5cd15597bc77213d44b62e7c6a85477ce28e56d5,6,6,6,0,1.8e+22,0
0x4814d2883c2dff3219bdbf7ed9ea6536f4bf37ee,7,7,7,0,1.8e+22,0
0xa93cac62197eefc2d573c088d6667b4cb336b753,22,22,20,2,1.7991976639999993e+22,0
